,Parametro,Prob
1,Enero,0.14126770639576477
6,Mayo,0.08628416082415225
11,Marzo,0.08502503934754614
4,Agosto,0.08195163828873944
8,Junio,0.08043496923737302
7,Febrero,0.07974817570467878
5,Abril,0.07922735727571899
10,Septiembre,0.07823150665331235
9,Julio,0.07704106452997568
0,Diciembre,0.07194734582916011
2,Noviembre,0.06949205894977822
3,Octubre,0.06934897696380025
