,Parametro,Prob
2,26-30,0.13136070968665045
8,31-35,0.12769781084561455
7,36-40,0.1162512519673773
1,41-45,0.10415223923308055
10,21-25,0.1013363857490342
12,46-50,0.09161825726141079
0,51-55,0.07112319358992703
3,56-60,0.05610530834167978
5,16-20,0.046833595650307626
9,61-65,0.042592645585920734
13,70+,0.03744169409071398
11,65-70,0.02843325225354128
6,0-10,0.02533123479753899
4,11-15,0.019722420947202748
