,Parametro,Prob,
750,AEROPUERTO INTERNACIONAL BENITO JUÃREZ,0.001545285,
75,GUADALUPE INN,0.001545285,
52,OLIVAR DEL CONDE 1A SECCION,0.001533839,
420,BARRIO XALTOCAN,0.001528116,
265,MERCED GOMEZ,0.001522392,
49,DEL MAR,0.001516669,
891,MARTIN CARRERA,0.001505222,
397,LA JOYA,0.001505222,
353,ISIDRO FABELA,0.001493776,
298,SAN SIMON TICUMAC,0.001493776,
77,ADOLFO RUIZ CORTINES,0.001488053,
452,LOMAS DE PLATEROS,0.001488053,
201,VIADUCTO PIEDAD,0.001482329,
112,SAN MIGUEL AJUSCO,0.001482329,
669,NINOS HEROES,0.001476606,
549,VILLA GUSTAVO A. MADERO,0.001476606,
328,AMPLIACION SAN PEDRO XALPA,0.001459436,
120,SAN FRANCISCO TLALTENCO,0.00144799,
5,PRO-HOGAR,0.001442266,
335,IZTLAHUACÃN,0.001442266,
267,EMILIANO ZAPATA,0.001442266,
210,SANTA MARIA TEPEPAN,0.001442266,
256,NUEVA SANTA MARIA,0.001442266,
87,SAN JUAN DE ARAGON,0.00143082,
51,FEDERAL,0.001425097,
529,FRANCISCO VILLA,0.001419373,
243,SAN JUAN DE ARAGON I SECCION,0.001419373,
183,INDUSTRIAL VALLEJO,0.001402203,
61,SAN LUCAS,0.001402203,
168,MIXCOAC,0.00139648,
13,OLIVAR DEL CONDE 2A SECCION,0.00139648,
463,INDEPENDENCIA,0.001390757,
153,CONSEJO AGRARISTA MEXICANO,0.00137931,
621,SAN MARCOS,0.00137931,
405,VISTA ALEGRE,0.001362141,
369,GRANJAS COAPA,0.001350694,
118,LOMAS DE ZARAGOZA,0.001350694,
368,SECTOR POPULAR,0.001339247,
149,MERCED BALBUENA,0.001327801,
341,SANTO TOMAS AJUSCO,0.001316354,
103,SALVADOR DIAZ MIRON,0.001316354,
133,TLACOQUEMECATL,0.001310631,
261,SANTA ANA PONIENTE,0.001304908,
200,GUADALUPE DEL MORAL,0.001299184,
543,BELLAVISTA,0.001293461,
559,SANTIAGO SUR,0.001282015,
374,EL PARAISO,0.001282015,
375,ARAGON LA VILLA,0.001282015,
572,SAN LUCAS XOCHIMANCA,0.001276291,
508,MIGUEL HIDALGO 3A SECCION,0.001270568,
550,PENON DE LOS BANOS,0.001270568,
553,ESTRELLA,0.001264845,
447,SAN ANDRES,0.001259121,
560,MOCTEZUMA 1A SECCION,0.001247675,
128,PUEBLO DE LOS REYES,0.001247675,
747,PUEBLO SANTA FE,0.001241952,
99,20 DE NOVIEMBRE,0.001241952,
69,LOMAS DE LA ESTANCIA,0.001241952,
641,RENOVACION,0.001230505,
526,SAN MARTIN XOCHINAHUAC,0.001230505,
417,SAN BERNABE OCOTEPEC,0.001224782,
589,GRANJAS MODERNAS,0.001224782,
615,EJERCITO DE ORIENTE 2,0.001219059,
604,SAN PEDRO,0.001219059,
159,LA MALINCHE,0.001213335,
562,APATLACO,0.001213335,
714,ROMERO RUBIO,0.001207612,
190,LOMAS ESTRELLA 2A SECCION,0.001201889,
247,ALIANZA POPULAR REVOLUCIONARIA,0.001196165,
523,SANTA URSULA XITLA,0.001196165,
239,SAN MATEO XALPA,0.001190442,
279,TLAXPANA,0.001190442,
236,ÃLVARO OBREGON,0.001190442,
20,CONSTITUCION DE LA REPUBLICA,0.001184719,
448,SAN JOSE DE LOS CEDROS,0.001178996,
381,ARGENTINA PONIENTE,0.001167549,
266,SANTO TOMAS,0.001156102,
724,SAN LORENZO HUIPULCO,0.001156102,
320,ADOLFO LOPEZ MATEOS,0.001156102,
825,VERONICA ANZURES,0.001150379,
883,LEYES DE REFORMA 1A SECCION,0.001150379,
725,PUEBLA,0.001150379,
220,SANTA MARIA AZTAHUACAN,0.001144656,
326,ESCUADRON 201,0.001144656,
139,IRRIGACION,0.001138933,
9,ALFONSO XIII,0.001133209,
578,AMPLIACION MOLINO DE ROSAS,0.001133209,
227,VASCO DE QUIROGA,0.001127486,
756,AMERICAS UNIDAS,0.001127486,
347,TOLTECA,0.001121763,
202,SAN MATEO TLALTENANGO,0.001104593,
866,TLALPAN CENTRO II,0.00109887,
79,PRESIDENTES DE MEXICO,0.001075977,
232,LOS ALPES,0.001075977,
85,TORRES DE POTRERO,0.001070253,
719,AVIACION CIVIL,0.001058807,
272,AMPLIACION ADOLFO LOPEZ MATEOS,0.001058807,
464,TEZOZOMOC,0.001058807,
93,LA LAGUNA TICOMÃN,0.001058807,
136,EL RODEO,0.001053083,
419,PUEBLO DE LA MAGDALENA MIXIUHCA,0.001053083,
109,VERTIZ NARVARTE,0.001053083,
784,SANTA ROSA,0.00104736,
59,PASEOS DE CHURUBUSCO,0.001041637,
667,AMPLIACION NAPOLES,0.001041637,
137,SANTA CECILIA,0.001035914,
733,PROGRESO,0.001035914,
32,EL PARQUE,0.001035914,
612,GABRIEL RAMOS MILLÃN SECCION TLACOTAL,0.001035914,
260,VALLE DE SAN LORENZO,0.00103019,
426,AMPLIACION ZONA URBANA EJIDAL SANTA MARIA AZTAHUAC,0.00103019,
497,FLORIDA,0.001024467,
858,LAS ARBOLEDAS,0.001024467,
636,SAN ANDRES TETEPILCO,0.001018744,
126,LA PURISIMA TICOMÃN,0.001018744,
460,EL SIFON,0.001018744,
598,SAN JUAN DE ARAGON II SECCION,0.00101302,
611,SAN JERONIMO ACULCO,0.001007297,
165,SANTIAGO AHUIZOTLA,0.001007297,
21,BOSQUE DE CHAPULTEPEC I SECCION,0.001001574,
413,CHALMA DE GUADALUPE,0.001001574,
285,MILITAR MARTE,0.001001574,
254,LOS GIRASOLES,0.000995851,
1032,BARRIO OXTOPULCO UNIVERSIDAD,0.000995851,
424,BARRIO NORTE,0.000995851,
184,BUENOS AIRES,0.000990127,
173,AMPLIACION GRANADA,0.000984404,
393,BARRIO CANDELARIA TICOMÃN,0.000984404,
815,CITLALLI,0.000984404,
296,SAN LORENZO TEZONCO,0.000978681,
98,SAN MARCOS NORTE,0.000978681,
199,AMPLIACION SAN FRANCISCO CULHUACAN,0.000972958,
158,MIGUEL HIDALGO 1A SECCION,0.000972958,
283,TENORIOS,0.000972958,
313,HIPODROMO CONDESA,0.000972958,
592,SAN JUAN DE ARAGON VII SECCION,0.000972958,
436,BELISARIO DOMINGUEZ SECCION XVI,0.000967234,
602,LORENZO BOTURINI,0.000961511,
507,SANTIAGO ACAHUALTEPEC,0.000961511,
357,BARRIO SANTA CATARINA,0.000961511,
238,ROMERO DE TERREROS,0.000961511,
221,TORRE BLANCA,0.000955788,
513,PARQUE SAN ANDRES,0.000955788,
745,LOMAS DE LA ERA,0.000955788,
450,AVANTE,0.000950064,
311,AMPLIACION GABRIEL HERNÃNDEZ,0.000950064,
185,ZONA ESCOLAR,0.000944341,
449,SAN JUAN TLIHUACA,0.000944341,
332,OLIVAR DE LOS PADRES,0.000938618,
677,SAN PEDRO EL CHICO,0.000938618,
742,GENERAL PEDRO MARIA ANAYA,0.000932895,
603,SAN PEDRO ZACATENCO,0.000932895,
624,LOMAS DE SOTELO,0.000932895,
544,VILLA CENTRO AMERICANA,0.000927171,
654,CARLOS ZAPATA VELA,0.000927171,
142,SANTIAGO ATZACOALCO,0.000927171,
240,AMPLIACION PROGRESO NACIONAL,0.000927171,
539,ARENAL 4A SECCION,0.000927171,
674,ACUEDUCTO DE GUADALUPE,0.000921448,
486,BARRIO LA CONCEPCION,0.000921448,
44,PUEBLO DE SANTA URSULA COAPA,0.000915725,
207,PEDREGAL DE SAN NICOLÃS 3A SECCION,0.000915725,
630,CIUDAD DE LOS DEPORTES,0.000915725,
699,CENTRO COMERCIAL PERISUR,0.000915725,
655,AMPLIACION PENITENCIARIA,0.000915725,
370,JARDINES DEL PEDREGAL DE SAN ÃNGEL,0.000910001,
606,ZACAHUITZCO,0.000910001,
782,LOMA LA PALMA,0.000904278,
468,ALGARIN,0.000904278,
324,GABRIEL RAMOS MILLÃN,0.000898555,
802,PORTALES ORIENTE,0.000892832,
683,SAN JUAN DE ARAGON III SECCION,0.000887108,
1007,LA POLVORILLA,0.000887108,
58,AMPLIACION ASTURIAS,0.000887108,
812,PENSIL NORTE,0.000887108,
198,TULYEHUALCO,0.000881385,
219,LOS OLIVOS,0.000881385,
478,INSURGENTES CUICUILCO,0.000881385,
492,PUEBLO LA CANDELARIA,0.000881385,
681,MIGUEL HIDALGO 4A SECCION,0.000875662,
626,GUADALUPE INSURGENTES,0.000869938,
95,VILLA PANAMERICANA,0.000869938,
981,MIGUEL HIDALGO 2A SECCION,0.000869938,
434,EL CARACOL,0.000869938,
167,ARGENTINA ANTIGUA,0.000864215,
953,AMERICA,0.000852769,
828,SAN JOSE ACULCO,0.000847045,
697,COPILCO UNIVERSIDAD,0.000841322,
650,LOS MANZANOS,0.000841322,
800,VALENTIN GOMEZ FARIAS,0.000829876,
140,SANTA LUCIA,0.000818429,
614,ACUEDUCTO,0.000818429,
660,SAN MATEO,0.000818429,
888,PERIODISTA,0.000812706,
844,PASEOS DE TAXQUENA,0.000812706,
421,SAN JOSE,0.000806982,
765,SAN BARTOLO ATEPEHUACAN,0.000806982,
471,C.T.M. EL RISCO,0.000806982,
252,SAN MIGUEL ZAPOTITLA,0.000801259,
853,REYNOSA TAMAULIPAS,0.000801259,
391,SAN PEDRO XALPA,0.000801259,
687,JACARANDAS,0.000795536,
273,PROGRESISTA,0.000795536,
91,SELENE 1A. SECCION,0.000789813,
111,PREDIO EL MOLINO,0.000789813,
923,BONDOJITO,0.000789813,
1105,GABRIEL HERNÃNDEZ,0.000784089,
916,C.T.M. ATZACOALCO,0.000784089,
294,SAN JUAN DE ARAGON VI SECCION,0.000784089,
922,LAS AGUILAS,0.000778366,
282,ARENAL 1A SECCION,0.000778366,
693,SANTA CRUZ XOCHITEPEC,0.000778366,
855,7 DE JULIO,0.000778366,
225,LOMAS DE BECERRA,0.000778366,
437,UNIDAD MODELO,0.000778366,
63,AMPLIACION DANIEL GARZA,0.000778366,
721,SAN JUAN,0.000778366,
453,EL RETONO,0.000772643,
355,LA ERA,0.000772643,
24,LA RAZA,0.000772643,
56,SANTA ROSA XOCHIAC,0.000772643,
164,PRADO CHURUBUSCO,0.000772643,
1110,PALMITAS,0.000766919,
108,DEL RECREO,0.000766919,
429,LA PRADERA,0.000761196,
469,EL COYOL,0.000761196,
805,MIGUEL DE LA MADRID,0.000761196,
145,PARAJE ZACATEPEC,0.000761196,
191,ACULCO,0.000755473,
18,BARRIO 18,0.000755473,
270,DEFENSORES DE LA REPUBLICA,0.000755473,
372,PUEBLO CULHUACÃN,0.000755473,
364,PASTEROS,0.000755473,
690,SAN PABLO - BARRIO,0.000755473,
83,GRANJAS DE SAN ANTONIO,0.00074975,
309,PILOTO ADOLFO LOPEZ MATEOS,0.00074975,
536,COLINA DEL SUR,0.00074975,
307,LA NAVIDAD,0.00074975,
730,LA CRUZ,0.000738303,
617,PEDREGAL DE SAN NICOLÃS 1A SECCION,0.000738303,
385,PROGRESO NACIONAL,0.000738303,
1042,LA MEXICANA,0.00073258,
809,BARRIO SAN PEDRO,0.00073258,
88,SAN IGNACIO,0.00073258,
485,SAN MIGUEL AMANTLA,0.000726856,
836,TETELPAN,0.000726856,
264,CUCHILLA DEL TESORO,0.000726856,
583,JAMAICA,0.000721133,
291,EL VERGEL,0.00071541,
147,LOS CIPRESES,0.00071541,
317,VILLA COYOACÃN,0.00071541,
89,MÃRTIRES DE RIO BLANCO,0.00071541,
491,SAN DIEGO CHURUBUSCO,0.000709687,
479,DR. ALFONSO ORTIZ TIRADO,0.000709687,
208,PROGRESO TIZAPAN,0.000709687,
665,LA ESTACION,0.000709687,
303,LA NOPALERA,0.000709687,
703,CONCHITA B,0.000703963,
1048,MESA DE LOS HORNOS,0.000703963,
511,TIZAPAN,0.000703963,
1084,SANTA CECILIA TEPETLAPA,0.00069824,
156,CULHUACÃN CTM SECCION VI,0.000692517,
435,GERTRUDIS SANCHEZ 3A SECCION,0.000692517,
14,PEDREGAL DE SAN NICOLÃS 4A SECCION,0.000686794,
67,PUEBLO NUEVO ALTO,0.000686794,
819,LAS PENAS,0.00068107,
813,CULHUACÃN CTM SECCION IX,0.00068107,
822,PUEBLO DE SAN PABLO TEPETLAPA,0.00068107,
580,CULHUACÃN CTM SECCION V,0.00068107,
863,LOS REYES CULHUACÃN,0.00068107,
867,LOMAS QUEBRADAS,0.000675347,
143,SANTIAGO TULYEHUALCO - PUEBLO,0.000675347,
806,FERROCARRILERA,0.000669624,
510,ZENTLAPATL,0.000669624,
504,LA CONCHITA,0.000669624,
766,TABLAS DE SAN AGUSTIN,0.000669624,
1001,SAN FRANCISCO TETECALA,0.000669624,
259,GERTRUDIS SÃNCHEZ 2A SECCION,0.0006639,
459,LAS CRUCES,0.0006639,
415,FUENTES DEL PEDREGAL,0.0006639,
325,CALTONGO,0.0006639,
998,PARAJE SAN JUAN,0.0006639,
561,TIERRA NUEVA,0.0006639,
400,SANTA URSULA COAPA,0.000658177,
778,LA ASUNCION,0.000658177,
1037,AGRICULTURA,0.000652454,
651,AERONÃUTICA MILITAR,0.000652454,
425,COVE,0.000646731,
939,OBSERVATORIO,0.000646731,
878,RESIDENCIAL ACUEDUCTO DE GUADALUPE,0.000646731,
874,AMPLIACION EMILIANO ZAPATA,0.000646731,
897,JUAN GONZÃLEZ ROMERO,0.000641007,
620,EL MANTO,0.000641007,
237,LOMAS DE TARANGO,0.000635284,
949,BARRANCA SECA,0.000635284,
663,SAN DIEGO OCOYOACAC,0.000635284,
404,LOMAS DE SAN BERNABE,0.000635284,
467,ANGEL ZIMBRON,0.000635284,
1039,AMPLIACION PANAMERICANA,0.000635284,
321,CUADRANTE DE SAN FRANCISCO,0.000635284,
470,CHIMALCOYOTL,0.000635284,
197,LOS ÃNGELES APANOAYA,0.000629561,
535,SAN LORENZO ACOPILCO,0.000629561,
451,OBRERO POPULAR,0.000629561,
31,AQUILES SERDÃN,0.000629561,
349,EX-EJIDO DE SAN PABLO TEPETLAPA,0.000629561,
395,SAN ÃLVARO,0.000623837,
163,SANTA MARIA MALINALCO,0.000623837,
263,FUEGO NUEVO,0.000623837,
310,SAN SEBASTIÃN TECOLOXTITLA,0.000618114,
360,TLALCOLIGIA,0.000618114,
134,CHURUBUSCO COUNTRY CLUB,0.000618114,
234,LA PRECIOSA,0.000618114,
373,NUEVA TENOCHTITLAN,0.000612391,
39,JOSE MARIA PINO SUÃREZ,0.000606668,
900,SANTA CRUZ ACAYUCAN,0.000600944,
983,FUENTES BROTANTES,0.000600944,
948,JORGE NEGRETE,0.000600944,
605,CORPUS CHRISTY,0.000595221,
506,POSTAL,0.000595221,
705,EL TRIUNFO,0.000595221,
807,ANO DE JUÃREZ,0.000595221,
754,LA HABANA,0.000589498,
573,SANTA MARTHA (VILLA MILPA ALTA),0.000589498,
465,SANTIAGO NORTE,0.000589498,
148,SANTA ISABEL INDUSTRIAL,0.000589498,
996,MINAS CRISTO REY,0.000583775,
873,CARMEN SERDÃN,0.000583775,
731,DANIEL GARZA,0.000578051,
1002,VICTORIA DE LAS DEMOCRACIAS,0.000578051,
865,PUENTE BLANCO,0.000572328,
637,ARVIDE,0.000572328,
1107,LORETO,0.000566605,
7,TENANTITLA (SAN ANTONIO TECOMITL),0.000566605,
157,EL ROSAL,0.000566605,
999,ARENAL,0.000566605,
688,GRANJAS ESMERALDA,0.000566605,
319,GRANJAS ESTRELLA,0.000566605,
785,TLATILCO,0.000566605,
8,2A AMPLIACION JALALPA TEPITO,0.000566605,
339,VILLA LÃZARO CÃRDENAS,0.000560881,
223,EL TANQUE,0.000560881,
275,CUCHILLA PANTITLAN,0.000560881,
366,AMPLIACION DEL GAS,0.000555158,
823,ARTES GRAFICAS,0.000555158,
987,CUAUHTEMOC PENSIL,0.000555158,
653,CIUDAD JARDIN,0.000549435,
783,VALLE DEL SUR,0.000549435,
151,ACTIPAN,0.000549435,
540,LA CARBONERA,0.000549435,
230,LA CRUZ COYUYA,0.000543712,
1082,LA ASUNCION I,0.000543712,
803,GUADALUPE,0.000543712,
302,NARCISO MENDOZA SUPER MANZANA 4 VILLA COAPA,0.000543712,
708,MIRAVALLE,0.000543712,
493,Las Aguilas (AOB-3),0.000543712,
788,EL OCOTAL,0.000543712,
986,AREA FEDERAL PANTEON SAN LORENZO TEZONCO,0.000543712,
994,ARENAL TEPEPAN,0.000537988,
444,DEL GAS,0.000537988,
645,CARACOL,0.000537988,
622,INDUSTRIAL PUERTO AEREO,0.000537988,
839,VILLA DE CORTES,0.000537988,
11,BARRIO EL ROSARIO,0.000537988,
211,ACACIAS,0.000532265,
522,1RA. AMPLIACION SANTIAGO ACAHUALTEPEC,0.000532265,
640,HEROES DE CHURUBUSCO,0.000532265,
494,SAN MIGUEL (SAN PABLO OZTOTEPEC),0.000532265,
304,NOCHEBUENA,0.000526542,
189,CHIMALISTAC,0.000526542,
933,JARDINES DEL AJUSCO,0.000520818,
657,AMPLIACION LOMAS DE SAN BERNABE,0.000520818,
476,ZAPOTLA,0.000520818,
214,ESPERANZA,0.000515095,
826,ESTRELLA DEL SUR,0.000515095,
644,ASTURIAS,0.000515095,
979,EDUCACION,0.000515095,
342,CRUZTITLA (SAN ANTONIO TECOMITL),0.000515095,
2,SAN MIGUEL XICALCO,0.000515095,
861,LA PASTORA,0.000509372,
791,EL ROSEDAL,0.000509372,
490,FELIPE ÃNGELES,0.000503649,
618,COPILCO EL BAJO,0.000503649,
487,CARLOS HANK GONZALEZ,0.000503649,
666,ALBERT,0.000503649,
548,EX-EJIDO DE SANTA URSULA COAPA,0.000503649,
1071,AXOTLA,0.000497925,
541,LOMAS DE SANTA CRUZ,0.000497925,
700,EL SANTUARIO,0.000497925,
154,ALDANA,0.000497925,
915,CRISTO REY,0.000497925,
918,JARDINES EN LA MONTANA,0.000497925,
255,UNIDAD CUITLAHUAC,0.000492202,
229,MEXICO NUEVO,0.000492202,
831,SANTA MARIA INSURGENTES,0.000492202,
488,PAULINO NAVARRO,0.000492202,
643,GENERAL FELIPE BERRIOZABAL,0.000492202,
441,SAN JUANICO,0.000492202,
462,BARRIO DEL NINO JESUS,0.000486479,
82,SAN ANDRES AHUAYUCAN,0.000486479,
599,UNIDAD PROFESIONAL ADOLFO LOPEZ MATEOS,0.000486479,
455,LOMAS DE CUAUTEPEC,0.000486479,
418,PRESIDENTES EJIDALES,0.000486479,
245,ESPARTACO,0.000486479,
692,LOMAS DE VISTA HERMOSA,0.000486479,
841,SANTA TERESA,0.000486479,
909,QUIAHUATLA,0.000480755,
1057,SIMON BOLIVAR,0.000480755,
301,CAPULTITLAN,0.000480755,
932,SANTA CRUZ (VILLA MILPA ALTA),0.000480755,
1059,PARQUE ECOLOGICO DE XOCHIMILCO,0.000480755,
877,SANTIAGO ATEPETLAC,0.000480755,
1260,HACIENDAS DE COYOACÃN,0.000480755,
516,COSMOPOLITA,0.000480755,
810,HEROES DE CERRO PRIETO,0.000480755,
966,GUADALUPE PROLETARIA,0.000480755,
799,AGRICOLA METROPOLITANA,0.000475032,
696,PLAZA COAPA,0.000475032,
893,EL TORO,0.000475032,
647,AMPLIACION PROVIDENCIA,0.000469309,
833,POPULAR RASTRO,0.000469309,
593,5O TRAMO 20 DE NOVIEMBRE,0.000469309,
832,PUENTE COLORADO,0.000469309,
1116,SAN LORENZO ATEMOAYA,0.000469309,
1006,BOSQUE DE CHAPULTEPEC II SECCION,0.000469309,
218,CENTRAL DE AUTOBUSES DEL SUR TAXQUENA,0.000469309,
383,SAN ANTONIO CULHUACÃN,0.000469309,
739,SELENE 2A. SECCION,0.000469309,
1051,PARAISO,0.000469309,
1177,REFORMA PENSIL,0.000463586,
1162,GOLONDRINAS,0.000463586,
1320,PEDREGAL DE SAN NICOLÃS 2A SECCION,0.000463586,
829,PORVENIR,0.000457862,
81,SAN JUAN Y GUADALUPE TICOMÃN,0.000457862,
902,SAN FRANCISCO XOCOTITLA,0.000457862,
297,LEGARIA,0.000457862,
483,MOLINO DE SANTO DOMINGO,0.000452139,
1026,JARDIN AZPEITIA,0.000452139,
116,LA ESMERALDA,0.000452139,
315,POPULAR SANTA TERESA,0.000452139,
887,HUICHAPAN,0.000452139,
251,EMILIO CARRANZA,0.000452139,
848,TLAPECHICO,0.000452139,
960,ARBOLEDAS DEL SUR,0.000446416,
600,MINA LOS COYOTES,0.000446416,
980,15 DE AGOSTO,0.000440693,
475,LA MAGDALENA PETLACALCO,0.000440693,
840,INSURGENTES SAN BORJA,0.000440693,
804,ARBOLEDAS DE CUAUTEPEC EL ALTO,0.000440693,
759,SAN FRANCISCO TLALNEPANTLA,0.000434969,
1008,SANTO DOMINGO,0.000434969,
412,MAGDALENA MIXIUHCA,0.000434969,
456,TLALPEXCO,0.000434969,
722,PALMATITLA,0.000434969,
704,CAMPESTRE COYOACÃN,0.000434969,
586,NUEVA SANTA ANITA,0.000434969,
458,PURISIMA ATLAZOLPA,0.000429246,
428,SELENE,0.000429246,
387,SANTA MARIA NATIVITAS,0.000429246,
682,LOS PADRES,0.000429246,
619,IZTACCIHUATL,0.000429246,
1127,PETROLERA,0.000429246,
316,HUAYATLA,0.000429246,
673,CREDITO CONSTRUCTOR,0.000429246,
1135,NEXTENGO,0.000429246,
484,SANTA CRUZ AVIACION,0.000423523,
993,COLTONGO,0.000423523,
859,LOS PICOS DE IZTACALCO SECCION 1B,0.000423523,
959,REAL DEL MORAL,0.000423523,
403,EL MOLINO TEZONCO,0.000423523,
988,LA COLMENA,0.000423523,
646,PRADO COAPA 3A SECCION,0.000423523,
942,CACAMA,0.000417799,
1095,SAN SEBASTIÃN,0.000417799,
1054,JARDINES DE SAN LORENZO TEZONCO,0.000417799,
862,REVOLUCION,0.000417799,
1089,7 DE NOVIEMBRE,0.000417799,
895,MAZA,0.000417799,
1020,BOSQUES DE LAS LOMAS,0.000412076,
337,A.M.S.A,0.000412076,
162,GARCIMARRERO,0.000412076,
427,CONCHITA A,0.000412076,
1083,BOSQUE DE LAS LOMAS,0.000412076,
1015,LA LOMA,0.000412076,
642,EL TRIANGULO,0.000406353,
775,SAN JUAN JOYA,0.000406353,
726,SAN JOSE DE LA ESCALERA,0.000406353,
905,PALO ALTO,0.00040063,
216,ZONA ESCOLAR ORIENTE,0.00040063,
182,TRES ESTRELLAS,0.000394906,
664,MODELO PENSIL,0.000394906,
1201,BOSQUES DEL PEDREGAL,0.000394906,
711,LOMAS DEL CHAMIZAL,0.000394906,
1055,UN HOGAR PARA NOSOTROS,0.000394906,
384,LA CONCEPCION (VILLA MILPA ALTA),0.000394906,
60,MARIA G. DE GARCIA RUIZ,0.000394906,
1241,CAFETALES,0.000394906,
769,VILLA DE ARAGON,0.000394906,
1046,SAN PABLO CHIMALPA,0.000394906,
957,EUZKADI,0.000394906,
972,LOS PICOS VI-B,0.000394906,
857,NUEVA ROSITA,0.000394906,
659,OJO DE AGUA,0.000389183,
1063,EX HACIENDA SAN JUAN DE DIOS,0.000389183,
371,SANTA CATARINA,0.000389183,
934,RESIDENCIAL EMPERADORES,0.000389183,
244,8 DE AGOSTO,0.000389183,
241,VALLE DE MADERO,0.000389183,
284,REFORMA IZTACCIHUATL SUR,0.000389183,
280,AMPLIACION SAN MIGUEL 8VA.,0.00038346,
974,LOMAS DE CHAMONTOYA,0.00038346,
299,SANTA MARIA TOMATLÃN,0.00038346,
556,10 DE MAYO,0.00038346,
431,PEDREGAL DE SANTA URSULA XITLA,0.000377736,
576,HOGAR Y SEGURIDAD,0.000372013,
474,EXTREMADURA INSURGENTES,0.000372013,
1358,SEVILLA,0.000372013,
1161,SAN LORENZO XICOTENCATL,0.000372013,
1000,BARRIO SAN LUCAS,0.000372013,
74,PENA POBRE,0.000372013,
977,LIBERALES DE 1857,0.000372013,
1044,SAN JOSE DEL OLIVAR,0.000372013,
525,LA ESPERANZA,0.000372013,
965,SAN JUAN (SAN PABLO OZTOTEPEC),0.00036629,
1257,LOMAS DE CAPULA,0.00036629,
19,C.T.M. ARAGON,0.00036629,
830,BARROS SIERRA,0.00036629,
505,NICOLÃS BRAVO,0.00036629,
715,PALMAS,0.00036629,
680,PRADO COAPA 2A SECCION,0.000360567,
790,AMPLIACION EL TRIUNFO,0.000360567,
793,EX-EJIDO DE LA MAGDALENA MIXIUHCA,0.000360567,
537,UNIDAD OBRERO HAB. CTM CULHUACAN ZONA 13,0.000360567,
1092,SOLIDARIDAD,0.000360567,
838,EL RELOJ,0.000360567,
846,INSURGENTES,0.000360567,
187,PARQUE DEL PEDREGAL,0.000360567,
870,MALACATES,0.000354843,
940,BARRIO SAN ANTONIO,0.000354843,
695,REFORMA SOCIAL,0.000354843,
786,GUADALUPE TLALPAN,0.000354843,
457,LA GUADALUPE,0.000354843,
568,LA CONCEPCION,0.000354843,
837,LEYES DE REFORMA 2A SECCION,0.000354843,
1016,PARAJE SAN JUAN CERRO,0.000354843,
235,BELEM DE LAS FLORES,0.000354843,
1118,SAN FRANCISCO XICALTONGO,0.000354843,
649,VALLEJO PONIENTE,0.00034912,
601,CENTRO URBANO BENITO JUÃREZ,0.00034912,
950,BARRIO SAN FRANCISCO,0.00034912,
336,CULHUACÃN CTM SECCION X,0.00034912,
926,BARRIO LA ASUNCION,0.00034912,
814,TEPEPAN,0.00034912,
816,1A VICTORIA,0.00034912,
407,ARAGON INGUARÃN,0.00034912,
671,LOS CEDROS,0.00034912,
1031,NARCISO MENDOZA SUPER MANZANA 2 VILLA COAPA,0.000343397,
423,SAN JOSE TICOMÃN,0.000343397,
904,CASA BLANCA,0.000343397,
180,PUEBLO NATIVITAS,0.000343397,
686,LA CASILDA,0.000343397,
534,SANTA FE IMSS,0.000343397,
47,SAN JUAN TEPEPAN,0.000343397,
527,SANTA ANA NORTE,0.000343397,
1011,PARRES EL GUARDA,0.000343397,
596,LOMAS DE SAN ÃNGEL INN,0.000343397,
327,2A AMPLIACION PRESIDENTES,0.000343397,
946,PRESIDENTES,0.000343397,
871,RESIDENCIAL LA ESCALERA,0.000343397,
751,SAN BARTOLOME XICOMULCO,0.000337673,
1148,SANTA ANA SUR,0.000337673,
610,JANITZIO,0.000337673,
876,DESARROLLO URBANO EL PIRU,0.000337673,
709,EMILIANO ZAPATA FRACCIONAMIENTO POPULAR,0.000337673,
712,COMPOSITORES MEXICANOS,0.000337673,
121,LA MAGDALENA,0.000337673,
781,EJIDOS SAN JUAN DE ARAGON 1A SECCION,0.000337673,
501,DEPORTIVO PENSIL,0.00033195,
169,SAN LORENZO,0.00033195,
178,PRESIDENTE MADERO,0.00033195,
519,AMPLIACION LA CANDELARIA,0.00033195,
608,CUAUTEPEC DE MADERO,0.00033195,
675,JOSEFA ORTIZ DE DOMINGUEZ,0.000326227,
338,CONTADERO,0.000326227,
969,LOS CIRUELOS,0.000326227,
502,JARDINES DEL SUR,0.000326227,
196,ARTURO MARTINEZ,0.000326227,
248,GUADALUPE VICTORIA,0.000326227,
625,PLENITUD,0.000326227,
215,SAN MATEO (VILLA MILPA ALTA),0.000326227,
1280,LA DRAGA,0.000326227,
287,ERMITA,0.000326227,
1211,SAN BARTOLO EL CHICO,0.000320504,
713,AMPLIACION TORRE BLANCA,0.000320504,
847,ROSARIO TLALI,0.000320504,
1185,ATENOR SALAS,0.000320504,
741,GUADALUPE TLALTENCO,0.000320504,
73,XOTEPINGO,0.000320504,
411,LA NORIA,0.000320504,
48,NARCISO MENDOZA SUPER MANZANA 3 VILLA COAPA,0.00031478,
1338,LOMAS DE LOS ANGELES DEL PUEBLO TETELPAN,0.00031478,
919,EQUIPAMIENTO FABRICA FISISA I,0.00031478,
706,ZONA URBANA EJIDAL LOS REYES CULHUACAN,0.00031478,
638,EL MIRADOR,0.00031478,
130,LOMAS ESTRELLA 1A SECCION,0.00031478,
