,Parametro,Prob,,
2101,FRANCISCO GOYTIA,9.16E-05,,
5480,ARQUIMIDES,9.16E-05,,
7372,TECACALO,9.16E-05,,
9624,GOLFO DE BENGALA,9.16E-05,,
9161,TOMAS ALVA EDISON,9.16E-05,,
14369,PROLONGACION PLUTARCO ELIAS CALLES,9.16E-05,,
2434,CARRETERA MEXICO CUERNAVACA,9.16E-05,,
2439,FISICOS,9.16E-05,,
2699,PRESA,9.16E-05,,
11875,JOSE MARIA PARRAS,9.16E-05,,
6578,AV CANAL DE TEZONTLE,9.16E-05,,
7639,TREBOL,9.16E-05,,
16258,GRABADOS,9.16E-05,,
2660,PASEO DEL RIO,9.16E-05,,
2646,SUR 129,9.16E-05,,
530,RESINA,9.16E-05,,
6557,SAN BENITO,9.16E-05,,
9358,ALEJANDRO DUMAS,9.16E-05,,
11791,SAN IGNACIO,9.16E-05,,
6366,CONCEPCION MENDEZ,9.16E-05,,
2733,TOLUCA,9.16E-05,,
9533,EMILIO BERLINER,9.16E-05,,
6355,DZITAS,9.16E-05,,
10548,HEGEL,9.16E-05,,
5444,MEXICO,9.16E-05,,
1242,ANTONIO VALERIANO,9.16E-05,,
930,VALENTIN GOMEZ FARIAS,9.16E-05,,
2818,MANIZALES,9.16E-05,,
176,AV ERMITA IZTAPALAPA,9.16E-05,,
6871,LAGO XOCHIMILCO,9.16E-05,,
15169,AVENIDA DELFIN MADRIGAL,9.16E-05,,
6582,TOTLI,9.16E-05,,
5390,SAN BENJAMIN,9.16E-05,,
9567,LOS ECHAVE,9.16E-05,,
6337,LAMARTINE,9.16E-05,,
980,AGUILA,9.16E-05,,
8346,LAGO ATTER,9.16E-05,,
7107,RIO TIBER,9.16E-05,,
2002,MOLIERE,9.16E-05,,
1151,FLORICULTURA,9.16E-05,,
10660,NINOS HEROES DE CHAPULTEPEC,9.16E-05,,
5803,SAN JORGE,9.16E-05,,
62,BOLIVIANOS,9.16E-05,,
6688,HOCABA,9.16E-05,,
1138,JOAQUIN VELAZQUEZ DE LEON,9.16E-05,,
13421,LAS ROSAS,9.16E-05,,
493,JOSE CARDEL,9.16E-05,,
6748,SORIA,9.16E-05,,
6757,PONIENTE 128,9.16E-05,,
626,CALZADA CAMARONES,9.16E-05,,
15304,NETZAHUALPILLI,9.16E-05,,
8455,ATZACOALCO,9.16E-05,,
2578,TRANSVAL,9.16E-05,,
15033,ENRICO MARTINEZ,9.16E-05,,
1353,EJE 5 SUR (AV. EUGENIA),9.16E-05,,
1348,LEON DE LOS ALDAMAS,9.16E-05,,
5826,SALTILLO,9.16E-05,,
1763,RIO PARANA,9.16E-05,,
3432,PONCIANO ARRIAGA,9.16E-05,,
3445,CANAL DEL MORAL,9.16E-05,,
3503,JULIAN CARRILLO,9.16E-05,,
6428,CUATRO,9.16E-05,,
466,CARLOS B. ZETINA,9.16E-05,,
8274,CARUSO,9.16E-05,,
3541,ORIENTE 114,9.16E-05,,
1640,BERLIOZ,9.16E-05,,
13510,AVENIDA MANUEL CANAS,9.16E-05,,
1133,RICARDO CASTRO,9.16E-05,,
442,DINAMARCA,9.16E-05,,
10103,FRANCISCO PIMENTEL,9.16E-05,,
15566,HALCON,9.16E-05,,
8715,SANTA MARIA,9.16E-05,,
6828,AV. CANAL DE APATLACO,9.16E-05,,
10982,YAXCABA,9.16E-05,,
10076,LAS CRUCES,9.16E-05,,
4182,AVENIDA ESCUADRON 201,9.16E-05,,
3318,RAFAEL ALDUCIN,9.16E-05,,
14686,AVENIDA SANTIAGO,9.16E-05,,
854,CABO FINISTERRE,9.16E-05,,
10665,RADIODIFUSORA,9.16E-05,,
724,DR VERTIZ,9.16E-05,,
4727,REY MAXTLA,9.16E-05,,
3176,HUALQUILA,9.16E-05,,
12286,ACERINA,9.16E-05,,
6643,LA CORUNA,9.16E-05,,
4762,SUR 22,9.16E-05,,
8952,REPUBLICA DE ECUADOR,9.16E-05,,
5753,RAMOS MILLAN,9.16E-05,,
383,JOSE MARIA VERTIZ,9.16E-05,,
3220,SUDZAL,9.16E-05,,
11192,PENSILVANIA,9.16E-05,,
5778,AV. JOSE MARIA MORELOS,9.16E-05,,
622,CALLE MORELOS,9.16E-05,,
4178,LOURDES,9.16E-05,,
1884,SOCRATES,9.16E-05,,
4700,SUR 153,9.16E-05,,
9308,AVENIDA 508,8.58E-05,,
13575,AVENIDA DE LOS CIEN METROS,8.58E-05,,
7117,AVENIDA SANTA CRUZ,8.58E-05,,
11869,XOCHITL,8.58E-05,,
11861,ENCINO,8.58E-05,,
1322,CIRCUITO DE LA INVESTIGACION CIENTIFICA,8.58E-05,,
8200,15,8.58E-05,,
6093,OLIVO,8.58E-05,,
2474,AV.  INSURGENTES SUR,8.58E-05,,
7126,AVENIDA CANAL DE RIO CHURUBUSCO,8.58E-05,,
1110,AVENIDA LA TURBA 655,8.58E-05,,
7056,BOULEVARD DEL TEMOLUCO,8.58E-05,,
1035,RODOLFO GAONA,8.58E-05,,
2570,INGLATERRA,8.58E-05,,
12245,ANO DE JUAREZ,8.58E-05,,
1128,AV. IGNACIO ZARAGOZA,8.58E-05,,
5612,BRIGADA ALVAREZ,8.58E-05,,
543,FLORESTA,8.58E-05,,
5690,CANANEA,8.58E-05,,
1951,SUR 107 A,8.58E-05,,
2161,XOCHIPILLI,8.58E-05,,
9134,ROSAL,8.58E-05,,
1063,ARCOS DE BELEM,8.58E-05,,
12975,IZCOATL,8.58E-05,,
5836,GREGORIO TORRES QUINTERO,8.58E-05,,
8869,CHICLE,8.58E-05,,
2005,AVENIDA SAN FRANCISCO,8.58E-05,,
420,CONKAL,8.58E-05,,
1816,ESCOLLO,8.58E-05,,
8246,RIO BALSAS,8.58E-05,,
9184,CAMPESINOS,8.58E-05,,
1955,AZCAPOTZALCO,8.58E-05,,
8505,AVENIDA JOSE MARIA CASTORENA,8.58E-05,,
8496,MAR EGEO,8.58E-05,,
6183,MACAHUITE,8.58E-05,,
19962,CALZ. DE LOS MISTERIOS,8.58E-05,,
982,TEOTIHUACAN,8.58E-05,,
7686,JUAN ENRIQUEZ,8.58E-05,,
6410,DR. VELASCO,8.58E-05,,
8210,EJE 5 NTE.,8.58E-05,,
12507,RIO DE LA MAGDALENA,8.58E-05,,
8343,TETIZ,8.58E-05,,
21835,CARACOL,8.58E-05,,
1730,AVENIDA 20 DE NOVIEMBRE,8.58E-05,,
5901,CILANTRO,8.58E-05,,
6384,NORTE 13,8.58E-05,,
2582,CHEMAX,8.58E-05,,
932,CIENFUEGOS,8.58E-05,,
7541,RUBEN ZEPEDA NOVELO,8.58E-05,,
3001,ORIENTE 166,8.58E-05,,
7464,FRAY JUAN DE ZUMARRAGA,8.58E-05,,
17893,CAMINO CAMPESTRE A,8.58E-05,,
10882,SUR 4,8.58E-05,,
8084,DESCONOCIDO,8.58E-05,,
14018,LAGO TRASIMENO,8.58E-05,,
10183,CARRETERA FEDERAL MEXICO TOLUCA,8.58E-05,,
13413,CALIZ,8.58E-05,,
7571,AGUA CALIENTE,8.58E-05,,
16602,CUAUTLA,8.58E-05,,
11516,TOLSA,8.58E-05,,
23895,AV. LAS TORRES,8.58E-05,,
8121,NORTE 81,8.58E-05,,
4270,SUR 167,8.58E-05,,
2813,PROLONGACION CINCO DE MAYO,8.58E-05,,
2794,ORIENTE 217,8.58E-05,,
9576,ALICIA,8.58E-05,,
64,AV. PRIMAVERA,8.58E-05,,
4441,IXTLIXOCHITL,8.58E-05,,
3076,FORTIN,8.58E-05,,
619,CALZADA DE  TLALPAN,8.58E-05,,
9916,SAN FELIPE DE JESUS,8.58E-05,,
7507,AUTOPISTA MEXICO CUERNAVACA,8.58E-05,,
143,PLAYA HORNOS,8.58E-05,,
9980,MANUEL PAYNO,8.58E-05,,
829,EJE UNO,8.58E-05,,
3341,CLAVELINAS,8.58E-05,,
8065,CONTOY,8.58E-05,,
11049,DE LAS ROSAS,8.58E-05,,
4626,ARQUIMEDES,8.58E-05,,
3236,UNO,8.58E-05,,
7478,EMILIO MADERO,8.58E-05,,
11183,JARDIN,8.58E-05,,
6691,HEROES DE PADIERNA,8.58E-05,,
4681,VERTIZ,8.58E-05,,
9865,AV. GUADALUPE I. RAMIREZ,8.58E-05,,
9862,ROSSINI,8.58E-05,,
3424,FRANCISCO ESPEJEL,8.58E-05,,
3428,CAMINO REAL DE TOLUCA,8.58E-05,,
4738,CARLOS J. MENESES,8.58E-05,,
2776,CALZADA DE LAS ARMAS,8.58E-05,,
2884,DOCTOR ATL,8.58E-05,,
2674,MANUEL JOSE OTHON,8.58E-05,,
2747,AV. BENJAMIN FRANKLIN,8.58E-05,,
4169,HOMUN,8.58E-05,,
23,ORIENTE 116,8.58E-05,,
16455,JOYAS,8.58E-05,,
2628,CORDILLERAS,8.58E-05,,
17368,OYAMELES,8.58E-05,,
9502,SUR 151,8.58E-05,,
3750,AVENIDA INDEPENDENCIA,8.58E-05,,
2620,AV. 604,8.58E-05,,
2714,ORIENTE 102,8.58E-05,,
5158,KANTUNIL,8.58E-05,,
16451,WAGNER,8.58E-05,,
692,MAR DE LA FECUNDIDAD,8.58E-05,,
10566,PETUNIA,8.58E-05,,
4131,PROLONGACION ABASOLO,8.58E-05,,
7919,CALLE 307,8.58E-05,,
3954,MONTE CARMELO,8.58E-05,,
4,PENSAMIENTO,8.58E-05,,
2649,AVENIDA TLALPAN,8.58E-05,,
7935,TIXTLA,8.58E-05,,
4467,SUR 115,8.01E-05,,
3463,CALZADA DE LA NARANJA,8.01E-05,,
6277,ROSA ZARAGOZA,8.01E-05,,
8408,JUAN DE DIOS ARIAS,8.01E-05,,
8407,EJE DIEZ,8.01E-05,,
10599,AV. INSURGENTES CENTRO,8.01E-05,,
6444,SAN VICTORIO,8.01E-05,,
13054,REY MOCTEZUMA,8.01E-05,,
4436,TLATILCO,8.01E-05,,
1268,SUR 147,8.01E-05,,
3477,VIZCAINAS,8.01E-05,,
15605,LAGO ILOPANGO,8.01E-05,,
20932,LAGO WETTER,8.01E-05,,
4486,SUR 65-A,8.01E-05,,
3375,AVENIDA LOMAS DE PLATEROS,8.01E-05,,
