,Parametro,Prob,,
36685,TERCERA CERRADA  DE IGNACIO ZARAGOZA (2A CDA. DE IGNACIO ZARAGOZA),5.72E-06,,
36686,CHICOZAPOTE  (ZAPOTE),5.72E-06,,
36687,2 CDA DE CRUZ VERDE,5.72E-06,,
36688,"CALLE LA PAZ (CASA GRIS, SAGUAN NEGRO)",5.72E-06,,
36689,MANUELK AVILA CAMACHO,5.72E-06,,
36690,KIFF,5.72E-06,,
36692,SEGUNDO CALLEJON DE CUADRANTE SAN FRANCISCO,5.72E-06,,
36681,PROLONGACION AYUNTAMIENTO,5.72E-06,,
36693,RAFAEL ATILIXCO,5.72E-06,,
36694,1A. PRIVADA DE  MARIQUITA  SANCHEZ,5.72E-06,,
36695,CALZADA  DE  TLALPAL,5.72E-06,,
36696,SEGUNDA CERRADA DE RIO SAN BUENAVENTURA,5.72E-06,,
36697,CALLE 5 CASI ESQUINA CON CAMINO REAL AL AJUSCO,5.72E-06,,
36698,CACAMATZIN (LAGUNA DE GUZMAN),5.72E-06,,
36699,ANILLO PERIF,5.72E-06,,
36700,LINEA CUATRO,5.72E-06,,
36701,ORIENTE 259     201,5.72E-06,,
36682,CULTURA,5.72E-06,,
36680,SEBASTIAN LERDO DE TEJADA NUMERO 5,5.72E-06,,
36703,"BOKOBA MANZANA 3, LOTE 35",5.72E-06,,
36668,ZARAGOZA NUMERO 143 IN TERIOR 9,5.72E-06,,
36663,ESCUELA PRIMARIA MAESTRO JOSE VASCONCELOS,5.72E-06,,
36664,JUAN DE DIOS BONJORQUEZ,5.72E-06,,
35959,AVENIDA MAXIMINO AVILA CAMACHO,5.72E-06,,
35958,RETAMA  Y CALLE JACARANDAS,5.72E-06,,
36665,AVENIDA FELIX CUEVAS Y SAN FRANCISCO,5.72E-06,,
36666,CALLE JOSE AGUILAR BARRAZA,5.72E-06,,
35957,ERMITA IZTAPALAPA Y REFRMA AERONAUTICA,5.72E-06,,
35956,PARADERO,5.72E-06,,
36667,ALVARO OBREGON FRENTE A LA SECUNDARIA 166 ALFONSO REYES,5.72E-06,,
36669,CALLE 1539 NUMERO 91,5.72E-06,,
36679,AMILCAR VIDAL,5.72E-06,,
36670,BATALLA DE CALVILLO Y GUELATAO,5.72E-06,,
35955,"JUAREZ, FRENTE AL MERCADO DE SAN BARTOLOME XICOMULCO",5.72E-06,,
36671,PLAYA CARAVALI,5.72E-06,,
36672,GOBERNADOR GUADALUPE COVARRUBIAS,5.72E-06,,
36673,AV. DOCTOR IGNACIO MORONES PRIETO,5.72E-06,,
36675,PUERTO MARQUEZ Y BENITO JUAREZ,5.72E-06,,
36676,AVENIDA SAN BORJA,5.72E-06,,
36677,2DA DE JOSE PALACIO SUPERMANZANA 6,5.72E-06,,
36678,LEON DE LAS  ALDAMAS,5.72E-06,,
36702,MORALES,5.72E-06,,
36704,RINCONADA DE LAS TRIBUS,5.72E-06,,
36745,CALZADA CHALMA LA VILLA 50,5.72E-06,,
35942,CAMPANA DE EBANO ESQ FRANCISCO MENA,5.72E-06,,
35944,EDIFICIO 47 DEPARTAMENTO 3 UNIDAD LA PATERA,5.72E-06,,
36726,JOSE J. CASSO,5.72E-06,,
36727,AV. CUEMANCO,5.72E-06,,
36728,NOCHE TRISTE,5.72E-06,,
36729,ANDADOR 29,5.72E-06,,
35943,EJE 10 Y RIO MAGDALENA,5.72E-06,,
36730,CALLE BILBAO NUMERO 486,5.72E-06,,
36732,HERO DE NACOZARI,5.72E-06,,
36733,AV. CALZADA IGNACIO ZARAGOZA,5.72E-06,,
36734,"SEGUNDA CERRADA DE CALPUITLA MZ. 328, LT. 25 (CALLE NO COINCIDE CON COLONIA Y NO SE TIENEN MÃS DATOS PARA GEOREFERENCIACION)",5.72E-06,,
35946,DESFOGUE,5.72E-06,,
36735,ESCUELA INDUSTRIAL  FRENTE AL NUMERO,5.72E-06,,
36736,AVENIDA ANIL Y AVENIDA RIO CHURUBUSCO,5.72E-06,,
36737,PROLONGACION CARBONEROS,5.72E-06,,
36739,PEDRO ROMERO DE TRREROS,5.72E-06,,
36740,ANTIGUO CAMINO A  XOCHIMILCO,5.72E-06,,
36741,MAR DE LOS NECTARES,5.72E-06,,
36742,AVENIDA INSURGENES NORTE,5.72E-06,,
36743,RETORNO 3 DE CALZADA IGNACIO ZARAGOZA,5.72E-06,,
36744,LA TABIQUERA,5.72E-06,,
35945,JOSE VASCONCELOS U SEGUNDA CERRADA DE VASCONCELOS,5.72E-06,,
35947,KILOMETRO 18.5 CIRCUITO AJUSCO PARAJE ABREVADERO,5.72E-06,,
36705,MORELOS Y REFORMA,5.72E-06,,
35951,DE LA RIVERA,5.72E-06,,
35953,CARRETERA FEDERAL MEXICO-OAXTEPETC,5.72E-06,,
36706,CALLE 16 NUMERO 39,5.72E-06,,
36708,COAPA ESQUINA TETITLA,5.72E-06,,
36709,AV.  MARINA  NACIONAL,5.72E-06,,
36710,AV 14,5.72E-06,,
36711,"AV, EL ROSARIO",5.72E-06,,
36712,CARR. MEXICO-OAXTEPEC,5.72E-06,,
36713,PROLONGACION NARCIZO MENDOZA,5.72E-06,,
35952,AV JARDIN CENTENARIO,5.72E-06,,
36714,CHAMPION,5.72E-06,,
36725,CERRADA HORTENSIA,5.72E-06,,
36715,CERRADA LAGO WAN,5.72E-06,,
36716,ANDADOR AGUASCALIENTES,5.72E-06,,
36717,AVENIDA  INGENIERO  BASILISO  ROMO ANGUIANO,5.72E-06,,
36718,EJIDO SANTA CRIZ ATOYAC,5.72E-06,,
36722,PROLINGACION CINCO  DE MAYO,5.72E-06,,
36723,EJE 1 NORTE MANUEL LEBRIJA,5.72E-06,,
36724,DE LAS ARMAS,5.72E-06,,
35950,AV SANTOS DUMONT,5.72E-06,,
35949,CJON. SAN ANDRES,5.72E-06,,
36011,AVENIDA UNIVERSIDAD 1000,5.72E-06,,
36482,CALLE  JUAN ESCUTIA,5.72E-06,,
36848,CERRADA DE CAMINO A LAS  CANTEAS,5.72E-06,,
36294,ESTACION AEROPUERTO S/N,5.72E-06,,
36228,ESTACIONAMIENTO DEL PRIMER RETORNO DE ELVIRA VARGAS,5.72E-06,,
36229,ANDADOR DE ORIENTE,5.72E-06,,
36230,EUSEBIO GUAJARDO,5.72E-06,,
36231,TLAHUAC (NO ESTA MARCADA),5.72E-06,,
36233,CALLE DE SANTISIMA,5.72E-06,,
36234,FRANCISCO FERNANDEZ DEL CASTILLO,5.72E-06,,
36080,AV MEXICO 121 INTERIOR 101 B,5.72E-06,,
36235,CALLE CONGRESO DE LA UNION,5.72E-06,,
36236,CALLE HACIENDA ESCOLASTICA,5.72E-06,,
36079,MARCOS LOPEZ JIMENEZ 173,5.72E-06,,
36237,AVENIDA GRAN CANAL DEL DESAGÃE,5.72E-06,,
36240,AV. DIAZ SOTO Y GAMA,5.72E-06,,
36241,AV. CIRCUITO INTERIOR JOSE VASCONCELOS,5.72E-06,,
36242,TAXCO SUR,5.72E-06,,
36243,CALLE ACUEDUCTO DE LOS LEONES,5.72E-06,,
36244,SARZUELA,5.72E-06,,
36247,BALTAZAR BORRAYOS,5.72E-06,,
36248,VICUNA,5.72E-06,,
36249,CALLE DE DURANGO,5.72E-06,,
36250,FEDERAL DE CUERNAVACA,5.72E-06,,
36252,PROLONGACION CALLE 5 DE MAYO,5.72E-06,,
36227,PUERTO ALVARADO 82,5.72E-06,,
36226,BERMONT,5.72E-06,,
36225,5 DE MAYO  OTE.,5.72E-06,,
36212,REY CUAHTEMOC,5.72E-06,,
36082,GRAL A. ROSALES,5.72E-06,,
36203,CALLE HACIENDA NARVARTE,5.72E-06,,
36204,AV. EJERCITO NACIONAL Y LAGO CONSTANZA,5.72E-06,,
36205,SAHUACOCINGO Y ACATEMPA,5.72E-06,,
36206,"MANZANA 4. GRUPO 13, U.H. SANTA FE.",5.72E-06,,
36207,ELISA  FRENTE AL NUMERO,5.72E-06,,
36208,"GALAMBO, ESQUINA CON CALLE MUICLE",5.72E-06,,
36210,AGRONOMOS 87,5.72E-06,,
36211,ANDADOR DE ZITACUARO,5.72E-06,,
36213,"AGUILILLAS LOTE 12, MANZANA 30",5.72E-06,,
36224,CALLE PRIMERA CERRADA DE MACLOVIO HERRERA,5.72E-06,,
36214,CALLE ORIENTE 245A,5.72E-06,,
36081,LUCERNA 24,5.72E-06,,
36215,AV. F.F.C. C. NACIONALES,5.72E-06,,
36216,BOULEVARD CATARATAS,5.72E-06,,
36217,CORREGIDORA NUMERO 135,5.72E-06,,
36218,AVENIDA BENITO 61,5.72E-06,,
36220,AVENIDA ZACATLAN S/N,5.72E-06,,
36221,PLAYA VILLA DEL MAR 2,5.72E-06,,
36222,PASILLO  I-J,5.72E-06,,
36077,RINCONADA EL CARACOL,5.72E-06,,
36253,FRACCION 20 (NO ESTA MARCADA),5.72E-06,,
36254,FRANCISCO DAVILA,5.72E-06,,
36066,BOLIVAR 479,5.72E-06,,
36275,METRO  UNIVERSIDAD,5.72E-06,,
36276,AVENIDA CUITLAHUAC 305,5.72E-06,,
36277,ANDADOR AGUSTIN CASTRO EJERCITO DE ORIENTE ZONA PENON,5.72E-06,,
36071,REDENCION 150,5.72E-06,,
36070,RETORNO CUATRO,5.72E-06,,
36278,PARALELA 4,5.72E-06,,
36279,ORIENTE 114B NUMERO 5,5.72E-06,,
36280,SAN RAFAEL ATLIXCO S/N,5.72E-06,,
36068,"MINA NUMERO 70, EDIF. 6, MZ-2, DEPTO. 103, UNIDAD HABITACIONAL LA NORMA",5.72E-06,,
36281,AV FUERZA AEREA MEXICANA,5.72E-06,,
36274,EJE SEIS SUR A LA ALTURA DE CALLE INGENIEROS MECANICOS,5.72E-06,,
36282,PRIVADA VISTA HERMOSA,5.72E-06,,
36284,VILLA BANES,5.72E-06,,
36285,cINSTITUTO DE INVESTIGACIONES ECONOMICAS,5.72E-06,,
36286,AV. MIGUEL DE  SERVANTES SAAVEDRA,5.72E-06,,
36287,CALLE LORENZO BOTURINI,5.72E-06,,
36288,NACIONAL Y FERROCARRIL DE CINTURA,5.72E-06,,
36289,CALLE SANTO TOMAS,5.72E-06,,
36290,AVENIDA CANAL DE MIRAMONTES  ESQUINA  ESTRELLA CEFEIRA,5.72E-06,,
36291,AHUEHUETES SUR,5.72E-06,,
36072,TALTENCO,5.72E-06,,
36273,2a. CDA. JOSEFA ORTIZ DE DOMINGUEZ,5.72E-06,,
36255,AVENIDA CHAPULTEPEC  318,5.72E-06,,
36262,BLVD. GRAN SUR,5.72E-06,,
36256,PIEDRA ALUMBRE,5.72E-06,,
36257,CERRADA DE   5 DE MAYO,5.72E-06,,
36076,ARQUITECTO CAROS LAZO,5.72E-06,,
36075,AV.  FERROCARRIL DE CUERNAVACA,5.72E-06,,
36074,CALLE PALACIO 21,5.72E-06,,
36258,CERRADA CONCHA DE MAR MANZANA 2 LOTE 29,5.72E-06,,
36259,PIRACANTO,5.72E-06,,
36260,AV. AZCAPOTZALCO REFINERIA,5.72E-06,,
36261,CARRETERA PICACHO AJUSCO LOTE 2 Y 3,5.72E-06,,
36263,NUNKINI 17,5.72E-06,,
36272,AMEALCO 19,5.72E-06,,
36264,QUIENTA CERRADA DEL IMAN,5.72E-06,,
36265,ZEMPOALA 375,5.72E-06,,
36266,INSURGENTES 1,5.72E-06,,
36267,CALLE RIO CAZONES,5.72E-06,,
36268,NAVARRO NUMERO 47,5.72E-06,,
36073,NORTE 80 NÃ¸ 4730,5.72E-06,,
36269,LAGO FONTANA Y LAGO VALENCIA,5.72E-06,,
36270,JOSE CEVALLOS,5.72E-06,,
36271,SALVADOR ORTEGA FLORES (NO SE UBICA EN COLONIA DE HECHOS),5.72E-06,,
36202,PASEO DE LAS PALMAS 215,5.72E-06,,
36201,PRIMAVERA CASI ESQUINA CON CALZADA IGNACIO ZARAGOZA,5.72E-06,,
36200,PLAYA  AZUL   MZ  41LT 19,5.72E-06,,
36140,LUGUNA DEL ENSUENO,5.72E-06,,
36131,HIDALGO  NUMERO  502,5.72E-06,,
36099,AVENIDA  NETZAHUALCOYOTL  97,5.72E-06,,
36132,SAN PABLO (SAN JERONIMO),5.72E-06,,
36134,AVENIDA  FUERTE  DE  LORETO,5.72E-06,,
36135,CERRADA DE  NINOS HEROES,5.72E-06,,
36137,AVENIDA JESUS GARCIA,5.72E-06,,
36138,XICOTENCATL 18,5.72E-06,,
36098,CALLE AZTECAS ESQUINA CON AVENIDA FERROCARRILES NACIONALES,5.72E-06,,
36139,BOLIVIANOS 59,5.72E-06,,
36142,CARDO    -NO ESTA MARCADA-,5.72E-06,,
36129,REFORMA ESTATAL,5.72E-06,,
36143,LAGUNA DE TAMIAHUAC,5.72E-06,,
36097,NORTE  94,5.72E-06,,
36144,AVENIDA 5 DE  FEBRERO,5.72E-06,,
36145,TRES A,5.72E-06,,
36146,HACIENDA DE TEPETITLAN,5.72E-06,,
36147,CALLE 3 Y AVENIDA NORTE,5.72E-06,,
36149,CIRCUITO ACAZACATONGO (NO SE UBICA CALLE),5.72E-06,,
36150,VETAGRANDE,5.72E-06,,
36152,H CONGRESO DE LA UNION,5.72E-06,,
36130,AVENIDA T      -TEZONTLE-,5.72E-06,,
36128,AV.  5 DE MAYO (JUAN TINOCO),5.72E-06,,
36154,REFORMA FEDERAL MZA 20 LOTE 49,5.72E-06,,
36115,CALLE LAGO COLIN        -NO ESTA MARCADA-,5.72E-06,,
36106,CONSTITUCIONALISTA,5.72E-06,,
36107,AVENIDA ARQUIMEDES,5.72E-06,,
36108,ORIENTE 110 MZ 40 LT 56,5.72E-06,,
36109,ORIENTE 157 NUMERO 10,5.72E-06,,
36110,PLAN DE LA NORIA J.,5.72E-06,,
36103,ARAGON FRENTE A EL NUMERO 241,5.72E-06,,
36112,PROLONGACION 16 DE SEPTIEMBRE NUMERO 200,5.72E-06,,
36113,PERIFERICO Y MANUEL CARDIO,5.72E-06,,
36114,BARRANCA SECA FRENTE A LA ESCUELA PRIMARIA ROSA VILLANUEVA RAMOS,5.72E-06,,
36101,CALLE SAN FRANCISCO  109,5.72E-06,,
36127,JAIME NUNO  INTERIOR DEL RECLUSORIO,5.72E-06,,
36100,CUATRA CERRADA DE CINCO DE MAYO,5.72E-06,,
36117,REFERENCIA METROBUS LA JOYA,5.72E-06,,
36119,PERIFERICO SUR  BOULEVAR ADOLFO LOPEZ MATEOS,5.72E-06,,
36121,CERRADA NAUYACA,5.72E-06,,
36122,CALLEJON MARGARITAS (NO SE UBICA LA CALLE),5.72E-06,,
36123,CALLE MANUEL ALEMAN,5.72E-06,,
36124,CAMINO AL CERRO DE GUADALUPE TLALTENCO,5.72E-06,,
36125,sur183,5.72E-06,,
36126,AV. DON MANUELITO,5.72E-06,,
36153,NINO DE JESUS (NO SE UBICA CALLE),5.72E-06,,
36155,PLAZA SAN JERONIMO,5.72E-06,,
36199,DR. MANUEL MARTINEZ SOLORZANO,5.72E-06,,
36187,10 SUR AVENIDA PEDRO ENRIQUEZ URENA,5.72E-06,,
36179,DE HILA,5.72E-06,,
36180,FRANCICO JAVIER MINA,5.72E-06,,
36182,FLOR MARINA,5.72E-06,,
36084,LEY DE POBLACION,5.72E-06,,
36183,GUADALUPE VCTORIA,5.72E-06,,
36184,AV.  TAZQUENA,5.72E-06,,
36185,ANDADOR MARACURA (LA CALLE NO SE UBICA),5.72E-06,,
36186,SUR 122 Y AVENIDA RIO TACUBAYA,5.72E-06,,
36083,CALLE JOSE MARIA PARRA     -CALLE GRAL. JOSE MARIA PARRAS-,5.72E-06,,
36188,TERCER ANDADOR DE SANTA CECILIA,5.72E-06,,
36088,ISAAC ABENIZ,5.72E-06,,
36189,OTE. 146,5.72E-06,,
36190,AVENIDA VASCO DE QUIROGA ENTRE JOAQUIN GALLO Y SANTA FE,5.72E-06,,
36191,AV. EJIDO CULHUACAN,5.72E-06,,
36193,JUAN BARROS SIERRA,5.72E-06,,
36194,PRIVADA DE CEYLAN,5.72E-06,,
36195,2 SUR JUAN ESCUTIA,5.72E-06,,
36196,AV. REDENCION,5.72E-06,,
36197,"CANAL DE GARAY 18 U.HAB, TRIANGULO DE LAS AUJAS",5.72E-06,,
36198,SEGUNDA CERRADA DE LEOPOLDO ROMANO,5.72E-06,,
36086,AV. ANTONIO SOTO Y GAMA,5.72E-06,,
36177,CALLE 331,5.72E-06,,
36157,CHAC,5.72E-06,,
36163,AND. 1,5.72E-06,,
36096,AV. EUSKARO,5.72E-06,,
36158,18 DE MARZO (NO ESTA MARCADA),5.72E-06,,
36094,FRABNCISCO MORAZAN,5.72E-06,,
36159,NELLY CAMPOBELLO 129,5.72E-06,,
36160,BOULEVARD MANUEL AVILA CAMACH,5.72E-06,,
36161,SUR 103-A,5.72E-06,,
36093,GUTBERTO AROCHE MZ. 189 LT. 12,5.72E-06,,
36162,LUIS MONROY,5.72E-06,,
36091,PROLAONGACION DIVICION DEL NORTE    -NO ESTA MARCADA-,5.72E-06,,
36165,AV.  SAN PABLO XAPA,5.72E-06,,
36176,RIO MISISISIPI,5.72E-06,,
36166,LAGUNA DE MAYRAN ESQUINA CON MARINA NACIONAL,5.72E-06,,
36167,JUAREZ 154,5.72E-06,,
36168,AVENIDA REVOLUCION 1267,5.72E-06,,
36169,CERRADA AUGUSTO RODIN,5.72E-06,,
36173,CDA. DE RIO FRIO,5.72E-06,,
36174,CDA.  ANIMAS,5.72E-06,,
36090,AVENIDA FRONTERA 26,5.72E-06,,
36175,TECOLOTITLA,5.72E-06,,
36089,BUENA SUERTE FRENTE A LA MZA 4 LT 49,5.72E-06,,
36292,RIVILLAGIGEDO,5.72E-06,,
36295,HOLANDESES SIN NUMERO,5.72E-06,,
36012,CALLEJON BELEN,5.72E-06,,
36296,NORTE 58A,5.72E-06,,
36412,AVENIDA CUITLAHAUC,5.72E-06,,
36029,ISAMAL,5.72E-06,,
36413,CALLE DOCTOR MORA,5.72E-06,,
36415,CALLE QUETZAL,5.72E-06,,
36416,CARRETERAD FEDERAL A CUERNAVACA,5.72E-06,,
36417,AVENIDA DEL  CONVENTO,5.72E-06,,
36418,CERRADA DE CANDIDO NAVARRO,5.72E-06,,
36419,AV. PUENTE  DE ALVARADO,5.72E-06,,
36420,ANDADOR ZINAPECUARO,5.72E-06,,
36026,EJE UNO  ALZATE,5.72E-06,,
36422,AV.  PRESIDENTE MASARYK,5.72E-06,,
36423,JARDIN DE LAS HORTENSIAS,5.72E-06,,
36025,FLOR DE ALHELI,5.72E-06,,
36024,AGUSTIN,5.72E-06,,
36424,AVENIDA DE LOS MISTERIOS,5.72E-06,,
36425,RETORNO CARACUARO,5.72E-06,,
36426,A UNA CUADRA DE METRO NAPOLES,5.72E-06,,
36023,NUEVA CARRETERA A TULYEHUALCO,5.72E-06,,
36427,LAGUNA DE LA  MANCHA,5.72E-06,,
36428,FRANCICO IMADERO,5.72E-06,,
36429,5TA CERRADA DE ORIENTE 245,5.72E-06,,
36411,VILLA GENERAL ROCA Y VILLA GATON,5.72E-06,,
36409,CALLE ALVARO GALVEZ Y FUENTES,5.72E-06,,
36408,AVERNIDA UNIVERSIDAD,5.72E-06,,
36397,AV. NICOLAS BRAVO,5.72E-06,,
36385,CALLE  ANGELINA,5.72E-06,,
36386,PREGONEROS,5.72E-06,,
36390,SEXTA CALLE DE BENITO JUAREZ,5.72E-06,,
36391,ANDADOR 49,5.72E-06,,
36393,PASEO DE  REFORMA,5.72E-06,,
36394,JACOBO WATTS Y GOBERNACION,5.72E-06,,
36395,NAVE TRES SECCION 7,5.72E-06,,
36396,ANTONIO M. AMZA,5.72E-06,,
36032,CANAL DE RIO CHURUBUSCO ESQUINA SALIDA DEL MURO DOS,5.72E-06,,
36031,PROLONGACION CIRCUNVALACION,5.72E-06,,
36407,FRANCISCO  MORAZAN,5.72E-06,,
36030,CERRADA DE RIO BUENAVENTURA,5.72E-06,,
36398,"AVENIDA 11 402, EDIFICIO 6-C, DEPARTAMENTO C-103",5.72E-06,,
36399,AVENIDA  GENRAL ANAYA,5.72E-06,,
36400,VERACRUZ (LA CALLE NO SE UBICA),5.72E-06,,
36401,RETORNO CARAUCUARO,5.72E-06,,
36403,AQUILES SERDAN Y TEZOZOMOC,5.72E-06,,
36404,ROMERIA,5.72E-06,,
36405,SEGUND PRIVADA DE MARIQUITA SANCHEZ,5.72E-06,,
36406,IXTAYOPA,5.72E-06,,
36430,ANDADOR 9 DE MANUELA SAENZ,5.72E-06,,
36431,"AV, SANTA URSULA",5.72E-06,,
36432,SECRETARIA  DEL TRABAJO,5.72E-06,,
36014,PROVIDENCIA DELEGACION BENITO JUAREZ,5.72E-06,,
36459,AVWENIDA UNIVERSIDAD,5.72E-06,,
36460,MIGUEL OTHON  DE MENDIZABAL ORIENTE,5.72E-06,,
36015,CALZADA MEXIOC XOCHIMILCO,5.72E-06,,
36462,CALLE NAVAJOS,5.72E-06,,
36464,HUALAHUISES MANZANA,5.72E-06,,
36466,CENTRAL DE ABASTOS. LOCAL 249 PASILLO 3 ENTRE LA MN Y LA OP,5.72E-06,,
36467,CJON. DE VIOLETA,5.72E-06,,
36468,RAMPA BOULEVARD SDOLFO LOPEZ MATEOS,5.72E-06,,
36470,AVENIDA CUITLAHUAC Y CALLE 28,5.72E-06,,
36471,SEGUNDA CERRADA DE ROSA MARIA SEQUEIRA,5.72E-06,,
36457,ANDARDOR DE FRANCISCO J MACIN,5.72E-06,,
36473,BOLIVAR 1009,5.72E-06,,
36474,CARRETERA FDERAL A CUERNAVACA,5.72E-06,,
36475,CALLE OCTAVIO SENTIES,5.72E-06,,
36476,TERCER RETORNO DE LANCEROS DE OAXACA,5.72E-06,,
36477,AVENIDA INSURGENTES NORTE 131,5.72E-06,,
36478,GOBERNADOR JOSE CEBALLOS 30,5.72E-06,,
36479,CALZADA LA RONDA,5.72E-06,,
36480,GONZALEZ  BLANCO,5.72E-06,,
36481,FLOR DEL EJIDO,5.72E-06,,
36458,AV.  RICARDO FLORES,5.72E-06,,
36016,NORTE ONCE 5017,5.72E-06,,
36433,SUR 107 CASI ESQUINA CON ORIENTE 110,5.72E-06,,
36020,QUETZALCOLCOATL,5.72E-06,,
36435,FRIO SAN JUAN,5.72E-06,,
36436,"GALEANA 196, B 102",5.72E-06,,
36437,PARQUE TICOMAN,5.72E-06,,
36438,AVENIDA DE LA PAZ SAN ANGEL,5.72E-06,,
36439,CALZADA LA VILLA,5.72E-06,,
36440,LAGUNA  DE LA  MANCHA 101,5.72E-06,,
36441,CERRADA DE HANK GONZALEZ,5.72E-06,,
36443,COMAYAHUENCES,5.72E-06,,
36444,AVENIDA MANUEL M PONCE,5.72E-06,,
36445,CALLE SAN JUAN ESQUINA CON CALLE BELLAVISTA,5.72E-06,,
36456,CALLEJON DE LAS FLORES  39,5.72E-06,,
36019,CERRADA DE TEZONTLE,5.72E-06,,
36447,AV.  JUAN SALVADOR AGRAZ,5.72E-06,,
36018,CAMINO DE NEXTENGO 412,5.72E-06,,
36449,ESTARDINAS,5.72E-06,,
36450,JUAN BAUTISTA DE CEBALLOS,5.72E-06,,
36453,HILARIO ELGUERA,5.72E-06,,
36454,TERCERA CERRADA HUEYCALCO,5.72E-06,,
36455,IGNACIO  L VALLARTA,5.72E-06,,
36017,VILLA BRUSUAL,5.72E-06,,
36384,GUADALUPE I RAMIREZ        -PROL. ACUEDUCTO-,5.72E-06,,
36033,AVENIDA  MIEGUEL ANGEL  DE  QUEVEDO,5.72E-06,,
36383,PROLONGACION SAN DIEGO,5.72E-06,,
36327,CDA.  JUAN  ESCUTIA,5.72E-06,,
36320,JOAQUIN VELAZQUEZ DE LEON NUMERO 47 INTERIOR 18,5.72E-06,,
36057,CAPITAN CARLOS LEON  PENON DE LOS BANOS,5.72E-06,,
36321,AV. 1-A,5.72E-06,,
36056,CDA EMILIANO ZAPATA,5.72E-06,,
36322,ORIENTE 241 B,5.72E-06,,
36323,AVENIDA CINCO DE  MAYO,5.72E-06,,
36324,CALLE TRES COLONIA ACACIAS,5.72E-06,,
36325,HIGUERA NUMERO 36 CASA 1 Y 2,5.72E-06,,
36326,BARON GITANO,5.72E-06,,
36328,"CALLE HIDALGO #17, EDIFICIO J, DEPARTAMENTO 502, U. HABITACIONAL ESPANA",5.72E-06,,
36058,CALLE PROLONGACION DE CHIHUAHUA (NO SE UBICA LA CALLE),5.72E-06,,
36329,CANAL DE CHALCO MZ BV LOTE 11,5.72E-06,,
36330,INSURGENTES Y  EJE UNO NORTE,5.72E-06,,
36331,CALZADA AZCAPOTZALCO LA VILLA  NUMERO 101 A,5.72E-06,,
36055,TECAMAC,5.72E-06,,
36332,LEANDRO  VALLE,5.72E-06,,
36054,GOLFO DE RIGA Y GOLFO DE SAN JORGE,5.72E-06,,
36333,AVENIDA TLAHUAC (LA CALLE NO SE UBICA),5.72E-06,,
36334,AVENIDA EDUARDO MOLINA PLAZA ORIENTE,5.72E-06,,
36335,PATRICIO ZANZ 1415,5.72E-06,,
36319,LUIS MENDEZ ROJAS,5.72E-06,,
36318,TORRES QUINTERO 191 EDIF 7C DEPTO 502,5.72E-06,,
36053,LECUMBERRIE,5.72E-06,,
36302,AVENIDA ACUEDUCTO DE GUADALUPE FRENE AL NUMERO 1106,5.72E-06,,
36064,BLAS PASCAL 222,5.72E-06,,
36297,CALLE DE VIADUCTO MIGUEL ALEMAN S/N,5.72E-06,,
36298,VICENTE HEREDIA,5.72E-06,,
36299,PILANTENCO,5.72E-06,,
36300,NAUHOLIN (NO SE ENCUENTRA LA CALLE),5.72E-06,,
36063,AGUSTIN YANES,5.72E-06,,
36062,HEROES DE NACOZARI 70,5.72E-06,,
36061,"RIO MACUSPANA NUMERO 41, INTERIOR 401,",5.72E-06,,
36301,ROBERO GAYOL,5.72E-06,,
36304,HEBREA MZ 137 LT 2B,5.72E-06,,
36317,AVENIDA PRIVADA MARIA DE LA LUZ,5.72E-06,,
36306,NORTE 86-A NUMERO 4524,5.72E-06,,
36059,ANASTASIO PARRODI,5.72E-06,,
36309,RETORNO JOSE VAZQUEZ MARTINEZ,5.72E-06,,
36310,AVENIDA DEL ROSAL 290 EDIFICIO 32 DEPARTAMENTO 202,5.72E-06,,
36311,AVENIDA LICENCIADO GENARO  GARCIA,5.72E-06,,
36313,ESTHER FERNANDEZ (NO ESTA MARCADA),5.72E-06,,
36314,COPAN,5.72E-06,,
36315,JUZGADO DECIMO CUARTO DE LO FAMILIAR,5.72E-06,,
36316,"MUNICIPIO LIBRE,  ENTRE DIVICION DEL NORTE   Y XOCHICALCO",5.72E-06,,
36337,EXPLANADA PLAZA DEL ROCIO,5.72E-06,,
36338,4A CDA DE OYAMEL,5.72E-06,,
36034,CORONEL LINO MERINO JUAN ESCUTIA,5.72E-06,,
36372,COAHUILTECOS NO SE UBICA CALLE,5.72E-06,,
36363,CLUB CAMPESTRE,5.72E-06,,
36364,TLACOPAC (FRANCISCO I. MADERO),5.72E-06,,
36041,CALLE LOMAS DE SAN LORENZO,5.72E-06,,
36365,SEGUNDA PRIVADA DE SANTA ANA,5.72E-06,,
36040,SEXTA CERRADA DE VALETIN CANZALIZO     (CALLE 6),5.72E-06,,
36366,CERRADA DE LOS CIRUELOS,5.72E-06,,
36369,TERCER RETORNO DE EMILIANO ZAPATA,5.72E-06,,
36370,EUGENIO AVINE,5.72E-06,,
36371,CERRADA DE ARENAL TEPEPAN,5.72E-06,,
36039,VISTAS DEL MAUREL,5.72E-06,,
36362,AV.  ROBLES  DOMINGUEZ,5.72E-06,,
36373,Avenida Antonio DelfÃ­n Madrigal,5.72E-06,,
36036,GUADALUPE  I RAMIREZ 611,5.72E-06,,
36375,CAMINO  A SAN MARCOS,5.72E-06,,
36376,VIENTO AZUL,5.72E-06,,
36378,16 DE SEPTIEMPRE,5.72E-06,,
36035,CALLE 639,5.72E-06,,
